X,Y
2.02E-03,1.07E+00
1.27E-02,1.07E+00
3.14E-02,1.18E+00
6.56E-02,1.41E+00
8.79E-02,1.40E+00
8.87E-02,1.37E+00
9.75E-02,1.39E+00
1.14E-01,1.36E+00
1.23E-01,1.37E+00
1.36E-01,1.32E+00
1.37E-01,1.50E+00
1.43E-01,1.38E+00
1.66E-01,1.40E+00
1.79E-01,1.30E+00
1.99E-01,1.18E+00
2.10E-01,1.21E+00
2.20E-01,1.16E+00
2.28E-01,1.04E+00
2.32E-01,1.17E+00
2.47E-01,9.75E-01
2.59E-01,9.72E-01
2.76E-01,7.58E-01
2.76E-01,8.32E-01
2.85E-01,7.94E-01
2.89E-01,7.72E-01
3.06E-01,6.43E-01
3.16E-01,5.25E-01
3.21E-01,4.51E-01
3.44E-01,3.28E-01
3.51E-01,1.25E-01
3.61E-01,2.06E-01
3.63E-01,9.56E-02
3.66E-01,1.03E-01
3.84E-01,-1.55E-02
4.02E-01,-3.05E-01
4.09E-01,-2.92E-01
4.17E-01,-3.58E-01
4.41E-01,-4.86E-01
4.42E-01,-5.11E-01
4.72E-01,-7.77E-01
4.86E-01,-8.71E-01
5.00E-01,-1.04E+00
5.34E-01,-1.11E+00
5.35E-01,-1.28E+00
5.43E-01,-1.24E+00
5.43E-01,-1.18E+00
5.46E-01,-1.16E+00
5.57E-01,-1.36E+00
5.61E-01,-1.29E+00
5.62E-01,-1.31E+00
5.71E-01,-1.28E+00
5.73E-01,-1.27E+00
5.97E-01,-1.48E+00
6.04E-01,-1.40E+00
6.15E-01,-1.39E+00
6.20E-01,-1.50E+00
6.24E-01,-1.51E+00
6.31E-01,-1.39E+00
6.32E-01,-1.37E+00
6.42E-01,-1.50E+00
6.55E-01,-1.29E+00
6.60E-01,-1.47E+00
6.72E-01,-1.34E+00
6.80E-01,-1.41E+00
6.81E-01,-1.36E+00
6.99E-01,-1.28E+00
7.00E-01,-1.28E+00
7.10E-01,-1.24E+00
7.37E-01,-9.94E-01
7.40E-01,-9.73E-01
7.58E-01,-1.01E+00
7.66E-01,-8.52E-01
7.85E-01,-7.24E-01
7.97E-01,-5.90E-01
8.07E-01,-5.68E-01
8.20E-01,-4.39E-01
8.43E-01,-3.34E-01
8.44E-01,-2.09E-01
8.50E-01,-2.06E-01
8.58E-01,-1.89E-01
8.62E-01,-1.44E-01
8.80E-01,1.05E-01
8.89E-01,2.03E-01
8.89E-01,2.08E-01
8.93E-01,1.09E-01
8.94E-01,9.45E-02
9.00E-01,2.75E-01
9.13E-01,2.99E-01
9.17E-01,4.50E-01
9.41E-01,5.53E-01
9.42E-01,5.17E-01
9.53E-01,5.84E-01
9.60E-01,6.45E-01
9.70E-01,8.22E-01
9.70E-01,7.93E-01
9.71E-01,8.45E-01
9.72E-01,7.31E-01
9.95E-01,8.90E-01
9.96E-01,1.02E+00
1.00E+00,9.73E-01
