TimeStep,LE11,LE12,LE22,LE33,PE11,PE12,PE22,PE33,S11,S12,S22,S33
0,0,0,0,0,0,0,0,0,0,0,0,0
3.1618E-05,4.03118E-11,-3.38571E-12,6.25698E-11,-5.0673E-11,0,0,0,0,4.610812664,-0.085788317,5.738770008,0
6.23348E-05,1.0436E-07,5.34621E-09,1.26147E-07,-1.13533E-07,0,0,0,0,11042.10547,135.4642334,12146.21777,0
9.30511E-05,1.53821E-06,1.69563E-08,1.69687E-06,-1.5934E-06,0,0,0,0,158699.5156,429.6447144,166740,0
0.000120355,5.7315E-06,-9.6851E-07,6.13E-06,-5.84223E-06,0,0,0,0,586518.6875,-24540.44922,606713.5,0
0.000151071,1.63586E-05,-1.46094E-06,1.54409E-05,-1.56624E-05,0,0,0,0,1622719.25,-37017.82422,1576213.25,0
0.000181787,3.4702E-05,-1.86534E-06,3.42613E-05,-3.3967E-05,0,0,0,0,3479914.25,-47264.75391,3457583,0
0.000212504,6.66185E-05,-3.50035E-06,6.34992E-05,-6.40878E-05,0,0,0,0,6623762.5,-88693.07031,6465691,0
0.00024322,0.000110509,-5.18483E-06,0.000108889,-0.000108062,0,0,0,0,11076431,-131375.0938,10994337,0
0.000270523,0.000168951,-4.76642E-06,0.000162129,-0.000163069,0,0,0,0,16825664,-120773.2031,16479996,0
0.00030124,0.000245135,-7.28743E-06,0.000236735,-0.000237339,0,0,0,0,24450158,-184651.3125,24024462,0
0.000331956,0.000343111,-7.89204E-06,0.000326309,-0.000329714,0,0,0,0,34096532,-199971.2188,33245096,0
0.000362673,0.000462353,-3.09577E-06,0.000447663,-0.000448217,0,0,0,0,46144664,-78441.65625,45400232,0
0.000393389,0.000550125,-5.53876E-06,0.000547106,-0.000540427,0,0,0,0,55265588,-140343.0469,55112592,0
0.000420692,0.000680469,-1.81276E-05,0.000657449,-0.000658974,0,0,0,0,67878552,-459323.7813,66711972,0
0.000451409,0.000861811,-1.45514E-05,0.000843874,-0.000840113,0,0,0,0,86247888,-368708.1875,85338920,0
0.000482125,0.000987484,-2.00948E-05,0.00097204,-0.000965139,0,0,0,0,98952464,-509170.0625,98169800,0
0.000512841,0.001119555,-2.80581E-05,0.001128919,-0.001137556,2.94675E-05,-1.06618E-06,2.98451E-05,-5.93127E-05,109883872,-683931.375,110339240,0
0.000540145,0.001281954,-3.42883E-06,0.001288588,-0.001453307,0.000183804,-5.22595E-06,0.00018513,-0.000368933,110603136,45536.13672,110872120,0
0.000570861,0.001757735,-1.42644E-05,0.001749997,-0.002369753,0.000631696,-2.1617E-06,0.000633549,-0.001265245,113036808,-306662.5625,112550768,0
0.000601578,0.002437619,-9.4585E-06,0.002430576,-0.003707958,0.001294005,-1.06642E-05,0.001287842,-0.002581847,115022304,30549.19531,114977656,0
0.000632294,0.002909662,-2.04764E-05,0.002917352,-0.004666791,0.001771585,-1.26739E-05,0.001769108,-0.003540693,114741008,-197701.5469,115256240,0
0.00066301,0.003328701,-1.67037E-05,0.003344933,-0.005513409,0.002191682,-1.44548E-05,0.002195629,-0.004387311,114687408,-56981.66797,115309976,0
0.000690314,0.003771916,7.27391E-07,0.003792015,-0.006403713,0.002633445,-1.10736E-05,0.002644176,-0.005277621,114760712,299016.625,115235488,0
0.00072103,0.004416135,-9.51294E-06,0.00442739,-0.007683288,0.003272478,-8.6894E-06,0.0032847,-0.006557178,115024472,-20867.08594,114975504,0
0.000751746,0.005084308,-1.67836E-05,0.005102855,-0.009026932,0.003943197,-9.61888E-06,0.003957631,-0.007900828,114895200,-181541.2344,115103656,0
0.000782463,0.005833169,-2.2288E-05,0.005858945,-0.010531882,0.004692878,-1.71317E-05,0.0047129,-0.009405778,114853704,-130652.5156,115145296,0
0.000813179,0.006706472,-3.05504E-05,0.006740463,-0.012286705,0.005566555,-2.46194E-05,0.005594048,-0.011160603,114834736,-150280.0625,115163968,0
0.000840483,0.007545833,-3.25734E-05,0.00758611,-0.013971712,0.006405787,-2.81513E-05,0.006439822,-0.012845608,114841344,-112046.875,115157672,0
0.000871199,0.008573742,-3.91858E-05,0.008623511,-0.016037019,0.007433878,-3.62987E-05,0.007477038,-0.014910916,114832120,-73153.70313,115167008,0
0.000901915,0.009711931,-4.93608E-05,0.009763005,-0.018314702,0.008569841,-4.23115E-05,0.008618759,-0.017188601,114944880,-178617.9063,115054208,0
0.000932632,0.010972096,-4.97484E-05,0.011025261,-0.020837119,0.00982951,-4.87644E-05,0.009881503,-0.019711014,114970280,-24933.12891,115029680,0
0.000963348,0.012369948,-5.60376E-05,0.012417888,-0.023627602,0.011225615,-5.30321E-05,0.011275881,-0.022501497,115058824,-76154.51563,114940936,0
0.000990651,0.013730645,-6.06811E-05,0.01377868,-0.026349088,0.012587248,-5.77347E-05,0.012635736,-0.025222983,115011400,-74657.09375,114988456,0
0.001021368,0.015412162,-6.60336E-05,0.015455783,-0.029707709,0.014267961,-6.31059E-05,0.014313645,-0.028581604,115052184,-74181.84375,114947600,0
0.001052084,0.017254589,-7.95163E-05,0.017293472,-0.033387825,0.016110471,-7.58608E-05,0.016151251,-0.032261722,115047976,-92623.125,114951736,0
0.0010828,0.019266114,-8.96238E-05,0.019293614,-0.037399493,0.018120928,-8.38604E-05,0.018152466,-0.036273394,115101912,-146036.1563,114897256,0
0.001110104,0.021199534,-9.77955E-05,0.02121781,-0.041257109,0.020054461,-9.59858E-05,0.020076545,-0.040131006,115096312,-45854.95313,114903392,0
0.00114082,0.023546852,-0.00011091,0.023548724,-0.045935344,0.02240091,-0.000105869,0.022408336,-0.044809245,115140216,-127746.9219,114858848,0
0.001171537,0.026073426,-0.0001135,0.026059981,-0.05097317,0.02492819,-0.00011312,0.02491888,-0.04984707,115104608,-9633.551758,114895096,0
0.001202253,0.028777525,-0.000119744,0.028743519,-0.056360811,0.027631411,-0.0001178,0.027603298,-0.055234712,115148992,-49264.10156,114850360,0
0.001232969,0.031644985,-0.000120841,0.031593259,-0.06207801,0.030499252,-0.000120597,0.030452657,-0.060951911,115129872,-6167.744629,114869688,0
0.001260273,0.03432085,-0.000122644,0.034249403,-0.067410015,0.033175059,-0.000122251,0.03310886,-0.066283919,115132808,-9962.488281,114866728,0
0.001290989,0.037450861,-0.000119797,0.037359279,-0.073649906,0.036305256,-0.000120688,0.03621855,-0.072523803,115123368,22557.75586,114876216,0
0.001321706,0.0406821,-0.000126076,0.040567771,-0.080089636,0.039536402,-0.000124128,0.039427135,-0.07896354,115128080,-49360.60938,114871424,0
0.001352422,0.043972716,-0.000128717,0.043841794,-0.086654276,0.042827435,-0.000127963,0.042700741,-0.085528173,115107064,-19127.98633,114892624,0
0.001383138,0.047281928,-0.000137991,0.047132812,-0.093254507,0.04613699,-0.000136391,0.045991421,-0.092128411,115089728,-40555.42969,114910024,0
0.001410442,0.050196122,-0.00014084,0.050037239,-0.099073127,0.0490514,-0.000139623,0.048895627,-0.097947031,115078632,-30828.65039,114921176,0
0.001441158,0.053396691,-0.00014059,0.053229794,-0.105466247,0.052253064,-0.000141558,0.052087087,-0.104340151,115023336,24525.99219,114976632,0
0.001471874,0.056456555,-0.00013363,0.056290045,-0.111586362,0.055313502,-0.000135459,0.055146765,-0.110460266,114994192,46347.95313,115005752,0
0.001502591,0.059318509,-0.000117142,0.059158988,-0.117317259,0.05817673,-0.000121943,0.058014438,-0.116191171,114929568,121633.4141,115069912,0
0.001533307,0.061923679,-9.03879E-05,0.061777104,-0.122540548,0.060782373,-9.97938E-05,0.060632091,-0.121414468,114905336,238331.0313,115092952,0
0.00156061,0.063978985,-5.92334E-05,0.063852437,-0.126671195,0.062839709,-6.97655E-05,0.062705398,-0.125545114,114801840,266865.7813,115195288,0
0.001591327,0.065955043,-1.11021E-05,0.065856233,-0.130651072,0.06481725,-3.15862E-05,0.064707778,-0.129525021,114725208,519035.125,115265856,0
0.001622043,0.067528978,3.39105E-05,0.067470171,-0.133838981,0.066395938,1.34256E-05,0.066317014,-0.13271296,114483456,519052.4688,115502744,0
0.00165276,0.068669394,9.03359E-05,0.06865631,-0.136165634,0.067540482,5.52069E-05,0.067499228,-0.135039702,114269256,890111.6875,115696784,0
0.001680063,0.069297381,0.000125045,0.069342613,-0.13748011,0.068180963,8.74088E-05,0.068173401,-0.136354357,113627040,953630.625,116302544,0
0.001710779,0.069562271,0.000167658,0.069678478,-0.138081625,0.06846828,0.000105702,0.068488315,-0.136956602,112453288,1569847.125,117327384,0
0.001741496,0.069390632,0.000211471,0.069625311,-0.137976348,0.068473287,0.000106157,0.068494059,-0.136967346,97622544,2668492.25,108462224,0
0.001772212,0.069090217,0.00026167,0.069418341,-0.137726441,0.068473287,0.000106157,0.068494059,-0.136967346,69734104,3940459.75,85309560,0
0.001802929,0.068723597,0.000325838,0.069123372,-0.137400582,0.068473287,0.000106157,0.068494059,-0.136967346,34641520,5566361,53848172,0
0.001830232,0.068395481,0.000357176,0.068847626,-0.137103155,0.068473287,0.000106157,0.068494059,-0.136967346,2941032.75,6360420.5,24801658,0
0.001860948,0.068037078,0.000400993,0.068516023,-0.136763304,0.068473287,0.000106157,0.068494059,-0.136967346,-32443852,7470664,-9225173,0
0.001891665,0.067694508,0.000375036,0.068193272,-0.136435613,0.068473287,0.000106157,0.068494059,-0.136967346,-66410992,6812964,-42188152,0
0.001922381,0.067538373,0.000384293,0.068012014,-0.136269435,0.068473287,0.000106157,0.068494059,-0.136967346,-82744824,7047510.5,-59795072,0
0.001953097,0.067527823,0.000356829,0.067953832,-0.13623558,0.068473287,0.000106157,0.068494059,-0.136967346,-84995128,6351633.5,-64458860,0
0.001980401,0.06762784,0.000314645,0.068007857,-0.136311442,0.068473287,0.000106157,0.068494059,-0.136967346,-76081704,5282751.5,-57876536,0
0.002011117,0.067985177,0.000250277,0.068295389,-0.136629075,0.068473287,0.000106157,0.068494059,-0.136967346,-41877168,3651769,-27209362,0
0.002041833,0.06846571,0.00020982,0.068691984,-0.137061089,0.068473287,0.000106157,0.068494059,-0.136967346,4367955.5,2626654.25,14782160,0
0.00207255,0.069009945,0.000129988,0.069156557,-0.137557968,0.068473287,0.000106157,0.068494059,-0.136967346,57128048,603841.1875,63505460,0
0.002103266,0.069604725,8.46901E-05,0.069675639,-0.138120368,0.068486422,0.000105778,0.068508081,-0.136994511,113727800,-534328.9375,116224104,0
0.00213057,0.070107609,3.94249E-05,0.070043072,-0.138991073,0.068927318,8.20893E-05,0.068938285,-0.137865603,116850072,-1081044.875,113023928,0
0.002161286,0.07061331,-1.30517E-05,0.070365034,-0.13982141,0.069380865,5.59887E-05,0.069317646,-0.138698518,119361848,-1749368.375,109983816,0
0.002192002,0.070910737,7.62957E-07,0.07053522,-0.140290841,0.069650874,3.45978E-05,0.069518834,-0.139169708,120662152,-857319.625,108323560,0
0.002222719,0.070755124,2.5523E-05,0.070298642,-0.140100449,0.069654055,3.45128E-05,0.069521122,-0.139175177,102689288,-227786.4375,86292856,0
0.002250022,0.070460699,7.42349E-05,0.069935448,-0.139776543,0.069654055,3.45128E-05,0.069521122,-0.139175177,71354648,1006492.063,51473160,0
0.002280738,0.0700377,0.000144368,0.069453098,-0.139330626,0.069654055,3.45128E-05,0.069521122,-0.139175177,27320402,2783559.75,4431753.5,0
0.002311455,0.069573388,0.000256328,0.068961196,-0.138859645,0.069654055,3.45128E-05,0.069521122,-0.139175177,-20076752,5620425.5,-44363776,0
0.002342171,0.069114707,0.000352489,0.068499409,-0.138406292,0.069654055,3.45128E-05,0.069521122,-0.139175177,-66296088,8057002,-90740256,0
0.002372888,0.068861872,0.000475132,0.068220645,-0.138144463,0.069654055,3.45128E-05,0.069521122,-0.139175177,-92377272,11164563,-118135712,0
0.002400191,0.068694033,0.00044191,0.068130054,-0.13795872,0.069613568,6.4802E-05,0.06944643,-0.139060006,-102406760,9555299,-122517688,0
0.002430907,0.068600826,0.000553926,0.068056121,-0.137790605,0.069548793,0.000110384,0.069342144,-0.138890937,-103799536,11238615,-120931088,0
0.002461624,0.068733484,0.000467432,0.068237931,-0.137945488,0.069548793,0.000110384,0.069342144,-0.138890937,-89227912,9047015,-103868656,0
0.00249234,0.06900578,0.00053028,0.068549678,-0.138233155,0.069548793,0.000110384,0.069342144,-0.138890937,-60850924,10639463,-73492560,0
0.002523056,0.069364682,0.000476501,0.068998113,-0.138630792,0.069548793,0.000110384,0.069342144,-0.138890937,-22511374,9276789,-30615980,0
0.00255036,0.069803052,0.000427054,0.069462806,-0.139075592,0.069548793,0.000110384,0.069342144,-0.138890937,22244404,8023890,15473555,0
0.002581076,0.070268854,0.000338368,0.06997703,-0.139558285,0.069548793,0.000110384,0.069342144,-0.138890937,70311088,5776749,65994240,0
0.002611793,0.070619687,0.000322081,0.07039161,-0.139935285,0.069548793,0.000110384,0.069342144,-0.138890937,107195008,5364059.5,106109104,0
0.002642509,0.070844658,0.000241732,0.070632741,-0.140318096,0.069699675,0.00013615,0.069493249,-0.139192924,115045472,2675279.75,114767240,0
0.002673225,0.070947282,0.00021424,0.070665561,-0.140469283,0.069784954,0.000147008,0.069574416,-0.13935937,115150560,1703553.75,111543072,0
0.002700529,0.070732899,0.000172853,0.07044217,-0.140253663,0.069784954,0.000147008,0.069574416,-0.13935937,93359576,654874.3125,89295664,0
0.002731245,0.070363894,0.000152982,0.070044659,-0.139876127,0.069784954,0.000147008,0.069574416,-0.13935937,55527356,151380.5781,50019132,0
0.002761961,0.069905497,0.000159987,0.069531858,-0.13939777,0.069784954,0.000147008,0.069574416,-0.13935937,8055853,328881.1875,-209537.2344,0
0.002792678,0.069398224,0.000180102,0.068993829,-0.13888292,0.069784954,0.000147008,0.069574416,-0.13935937,-43741760,838566.0625,-53565964,0
0.002823394,0.068987608,0.000273317,0.068540208,-0.138457254,0.069784954,0.000147008,0.069574416,-0.13935937,-86122304,3200474.75,-98125536,0
0.002850698,0.068690069,0.000339072,0.06825801,-0.138102233,0.069726139,0.000162939,0.069496311,-0.139222443,-109271824,4462904,-119520416,0
0.002881414,0.06850481,0.000430728,0.068070315,-0.137729019,0.069560602,0.000210533,0.069288403,-0.138849005,-110259656,5579355,-118483744,0
0.00291213,0.068530783,0.000532119,0.068081953,-0.137727693,0.069543175,0.000216672,0.069266692,-0.13880986,-106144608,7992902.5,-114878192,0
0.002942847,0.068702489,0.000578423,0.068287313,-0.137913406,0.069543175,0.000216672,0.069266692,-0.13880986,-88031632,9166182,-95059712,0
0.00297015,0.068977877,0.000621758,0.068573453,-0.138189986,0.069543175,0.000216672,0.069266692,-0.13880986,-60059444,10264215,-66542892,0
0.003000866,0.069408134,0.000620133,0.068987384,-0.138605773,0.069543175,0.000216672,0.069266692,-0.13880986,-17184954,10223025,-24495342,0
0.003031583,0.069869898,0.000620163,0.069459207,-0.139065593,0.069543175,0.000216672,0.069266692,-0.13880986,29518472,10223797,22717452,0
0.003062299,0.07028807,0.000581339,0.069899239,-0.139488295,0.069543175,0.000216672,0.069266692,-0.13880986,72130696,9240067,66437708,0
0.003093016,0.070627347,0.000562499,0.070262462,-0.1398343,0.069543175,0.000216672,0.069266692,-0.13880986,106859072,8762682,102379200,0
0.003120319,0.070836969,0.000476901,0.070413381,-0.140096143,0.069633253,0.000245462,0.069342658,-0.138975903,117771440,5864279,111032112,0
0.003151035,0.070859484,0.000441351,0.070422091,-0.140139639,0.069663368,0.000253552,0.06936793,-0.139031306,116783360,4758513,109589376,0
0.003181752,0.070768736,0.000357452,0.070256203,-0.140013233,0.069663368,0.000253552,0.06936793,-0.139031306,105779040,2632633,94777312,0
0.003212468,0.070504211,0.000318489,0.069981627,-0.139747709,0.069663368,0.000253552,0.06936793,-0.139031306,78917576,1645378,67406504,0
0.003243184,0.070206411,0.000216286,0.069596142,-0.139411166,0.069663368,0.000253552,0.06936793,-0.139031306,46771044,-944256.1875,30816532,0
0.003270488,0.069914848,0.000214016,0.069314927,-0.139129043,0.069663368,0.000253552,0.06936793,-0.139031306,17699068,-1001792.625,2268808.25,0
0.003301204,0.069647923,0.00021412,0.069024079,-0.138854325,0.069663368,0.000253552,0.06936793,-0.139031306,-9749761,-999163,-26392410,0
0.003331921,0.069440983,0.000191953,0.068853147,-0.138668209,0.069663368,0.000253552,0.06936793,-0.139031306,-29668896,-1560828,-44486352,0
0.003362637,0.069396526,0.000244396,0.068811655,-0.138625875,0.069663368,0.000253552,0.06936793,-0.139031306,-34067004,-232012,-48734544,0
0.003393353,0.069414221,0.000316637,0.068919353,-0.13868764,0.069663368,0.000253552,0.06936793,-0.139031306,-30040326,1598462.5,-40146848,0
0.003420657,0.069520861,0.000361164,0.069089204,-0.138823822,0.069663368,0.000253552,0.06936793,-0.139031306,-17735046,2726710,-24638036,0
0.003451373,0.069711991,0.000398127,0.069352984,-0.139047876,0.069663368,0.000253552,0.06936793,-0.139031306,3305731.75,3663278.75,84277.80469,0
0.003482089,0.069911763,0.000464111,0.06963592,-0.139285624,0.069663368,0.000253552,0.06936793,-0.139031306,25477848,5335203.5,26471034,0
0.003512806,0.070083857,0.000552543,0.069858156,-0.139479846,0.069663368,0.000253552,0.06936793,-0.139031306,44041592,7575930,47575800,0
0.003540109,0.070188664,0.000597982,0.069999553,-0.139601111,0.069663368,0.000253552,0.06936793,-0.139031306,55497848,8727268,60886352,0
0.003570826,0.070211656,0.000642522,0.070046306,-0.139635473,0.069663368,0.000253552,0.06936793,-0.139031306,58404132,9855842,64996420,0
0.003601542,0.070102744,0.000633266,0.069946788,-0.139532804,0.069663368,0.000253552,0.06936793,-0.139031306,47682176,9621312,54750912,0
0.003632258,0.069943748,0.000642217,0.069737166,-0.139351249,0.069663368,0.000253552,0.06936793,-0.139031306,30424456,9848123,34927372,0
0.003662975,0.069711439,0.000643239,0.069481365,-0.139110833,0.069663368,0.000253552,0.06936793,-0.139031306,6468302,9874013,9780471,0
0.003690278,0.069517434,0.000561673,0.06922283,-0.138887942,0.069663368,0.000253552,0.06936793,-0.139031306,-14658976,7807269,-14616781,0
0.003720995,0.069339603,0.000534848,0.068989292,-0.138685331,0.069663368,0.000253552,0.06936793,-0.139031306,-33938600,7127570.5,-36719608,0
0.003751711,0.069248207,0.00050388,0.068850257,-0.138571829,0.069663368,0.000253552,0.06936793,-0.139031306,-44322112,6342892,-49517012,0
0.003782427,0.06925562,0.000406379,0.068812937,-0.138557106,0.069663368,0.000253552,0.06936793,-0.139031306,-44692436,3872361.25,-52154348,0
0.003813144,0.069383904,0.000374494,0.068914093,-0.138670117,0.069663368,0.000253552,0.06936793,-0.139031306,-32464422,3064463,-41301120,0
0.003840447,0.069590196,0.000382776,0.069087222,-0.138856992,0.069663368,0.000253552,0.06936793,-0.139031306,-12540226,3274313,-23057184,0
0.003871163,0.069850579,0.00033942,0.069375381,-0.139127165,0.069663368,0.000253552,0.06936793,-0.139031306,14346655,2175731.5,5237266.5,0
0.00390188,0.070164405,0.000347198,0.069671661,-0.139427662,0.069663368,0.000253552,0.06936793,-0.139031306,45478888,2372813,35479888,0
0.003932596,0.07041426,0.000408436,0.069968887,-0.13969712,0.069663368,0.000253552,0.06936793,-0.139031306,71796008,3924492.75,64197708,0
0.003963313,0.070594154,0.000427389,0.070155062,-0.139877424,0.069663368,0.000253552,0.06936793,-0.139031306,90049752,4404739.5,82769896,0
0.003990616,0.070639916,0.000451248,0.070234641,-0.139939159,0.069663368,0.000253552,0.06936793,-0.139031306,95497264,5009272.5,89931264,0
0.004021332,0.070559412,0.000501976,0.070174724,-0.139870003,0.069663368,0.000253552,0.06936793,-0.139031306,87912472,6294631.5,83389600,0
0.004052049,0.070350289,0.000543243,0.069977313,-0.139669761,0.069663368,0.000253552,0.06936793,-0.139031306,67167720,7340271,63238276,0
